TIME	U1cal
0.462	7.107
0.463	7.169
0.463	7.116
0.464	6.968
0.464	7.011
0.465	7.098
0.465	7.618
0.466	7.037
0.466	7.116
0.467	7.684
0.467	7.116
0.468	7.231
0.468	7.213
0.469	7.089
0.469	7.258
0.470	7.063
0.470	7.072
0.471	6.942
0.471	7.063
0.472	6.968
0.472	7.081
0.473	7.204
0.473	6.950
0.474	6.968
0.474	7.258
0.475	7.276
0.475	6.805
0.476	7.440
0.476	7.394
0.477	7.028
0.477	7.037
0.478	7.019
0.478	7.956
0.479	7.160
0.479	7.037
0.480	6.705
0.480	7.116
0.481	6.713
0.481	6.933
0.482	6.755
0.482	7.089
0.483	6.933
0.483	7.028
0.484	7.046
0.484	7.222
0.485	7.046
0.485	6.573
0.486	7.116
0.486	7.459
0.487	7.098
0.487	7.002
0.488	6.993
0.488	7.303
0.489	7.011
0.489	7.054
0.490	6.597
0.490	7.063
0.491	6.839
0.491	7.072
0.492	7.054
0.492	6.993
0.493	6.907
0.493	6.968
0.494	7.054
0.494	7.917
0.495	6.622
0.495	7.081
0.496	7.285
0.496	7.385
0.497	7.204
0.497	6.993
0.498	7.037
0.498	7.098
0.499	7.037
0.499	7.160
0.500	6.950
0.500	7.054
0.501	7.897
0.501	7.116
0.502	7.002
0.502	7.267
0.502	7.178
0.503	6.672
0.504	7.413
0.504	7.376
0.505	7.313
0.505	7.160
0.506	7.413
0.506	7.142
0.507	7.394
0.507	7.160
0.508	7.385
0.508	7.125
0.509	7.222
0.509	7.178
0.510	7.098
0.510	7.081
0.511	7.089
0.511	7.054
0.512	7.276
0.512	7.107
0.513	7.046
0.513	7.054
0.514	7.037
0.514	6.396
0.515	7.002
0.515	7.028
0.516	7.046
0.516	7.072
0.516	6.746
0.517	6.890
0.518	7.002
0.518	7.187
0.519	7.125
0.519	7.063
0.520	7.829
0.520	7.046
0.521	6.993
0.521	7.599
0.522	7.151
0.522	7.098
0.523	7.046
0.523	7.358
0.524	7.169
0.524	6.516
0.525	6.655
0.525	7.349
0.525	6.476
0.526	7.231
0.527	7.151
0.527	6.976
0.528	6.763
0.528	7.002
0.529	6.772
0.529	7.046
0.530	7.002
0.530	7.002
