TIME	U1cal
0.315	7.321
0.316	7.249
0.316	7.240
0.317	7.276
0.317	7.487
0.318	6.950
0.318	7.195
0.319	7.385
0.319	7.169
0.320	7.267
0.320	7.358
0.321	7.321
0.321	7.321
0.322	7.385
0.322	7.151
0.323	7.285
0.323	7.294
0.324	7.477
0.324	7.249
0.325	7.231
0.325	7.376
0.326	7.487
0.326	7.258
0.327	7.524
0.327	7.533
0.328	7.477
0.328	7.258
0.329	6.814
0.329	6.993
0.330	7.054
0.330	7.533
0.331	7.213
0.331	7.187
0.332	7.089
0.332	7.294
0.333	7.367
0.333	7.321
0.334	7.142
0.334	7.204
0.335	7.675
0.335	7.331
0.336	7.285
0.336	7.213
0.337	7.303
0.337	7.107
0.338	7.376
0.338	7.331
0.339	7.276
0.339	7.321
0.340	7.125
0.340	7.703
0.341	7.267
0.341	7.404
0.342	7.580
0.342	8.136
0.343	7.187
0.343	7.285
0.344	7.258
0.344	6.606
0.345	7.376
0.345	7.213
0.346	7.376
0.346	7.116
0.347	7.404
0.347	7.240
0.348	7.276
0.348	7.294
0.349	7.267
0.349	7.431
0.350	6.848
0.350	7.877
0.351	7.946
0.351	7.440
0.352	7.404
0.352	7.385
0.353	7.561
0.353	7.358
0.354	7.413
0.354	7.204
0.355	6.985
0.355	7.195
0.356	7.240
0.356	7.160
0.357	7.431
0.357	7.331
0.358	7.394
0.358	7.303
0.359	7.413
0.359	7.267
0.360	7.468
0.360	7.543
0.361	7.571
0.361	7.160
0.362	7.751
0.362	7.204
0.363	7.321
0.363	7.046
0.364	7.394
0.364	7.258
0.365	7.294
0.365	7.331
0.366	7.231
0.366	7.367
0.367	7.285
0.367	7.331
0.368	7.313
0.368	7.394
0.369	7.231
0.369	7.580
0.370	7.946
0.370	7.267
0.371	7.450
0.371	7.385
0.372	7.761
0.372	7.926
0.373	7.276
0.373	7.459
0.374	7.213
0.374	7.367
0.375	7.222
0.375	7.267
0.376	7.240
0.376	7.116
0.377	7.267
0.377	7.294
0.378	7.240
0.378	7.321
0.379	7.213
0.379	7.321
0.380	7.285
0.380	7.413
0.381	7.543
0.381	6.831
0.382	7.294
0.382	7.331
0.383	7.422
0.383	7.524
0.384	7.367
0.384	7.331
0.385	6.772
0.385	7.258
0.386	7.450
0.386	6.738
0.387	7.331
0.387	7.276
0.388	7.267
0.388	7.285
0.389	7.169
0.389	7.240
0.390	7.294
0.390	7.608
0.391	7.285
0.391	7.294
0.392	7.703
0.392	7.267
0.393	7.477
0.393	7.331
0.394	7.358
0.394	7.321
0.395	7.240
0.395	7.046
0.396	7.037
0.396	7.249
0.397	7.404
0.397	7.713
0.398	7.385
0.398	7.002
0.399	7.313
0.399	6.968
0.400	7.285
0.400	7.524
0.401	7.142
0.401	7.450
0.402	7.450
0.402	7.367
0.403	7.303
0.403	7.313
0.404	7.222
0.404	7.608
0.405	7.487
0.405	6.985
0.406	7.169
0.406	7.358
0.407	7.160
0.407	6.899
0.408	7.151
0.408	7.349
0.409	7.240
0.409	7.376
0.410	7.267
0.410	7.431
0.411	6.780
0.411	7.367
0.412	6.933
0.412	7.249
0.413	7.431
0.413	7.770
0.414	7.627
0.414	7.477
0.415	7.367
0.415	7.222
0.416	7.608
0.416	7.571
0.417	7.376
0.417	7.037
0.418	7.394
0.418	7.394
0.419	7.394
0.419	7.440
0.420	7.258
0.420	8.095
0.421	7.331
0.421	7.367
0.422	7.267
0.422	7.665
0.423	7.487
0.423	7.303
0.424	7.761
0.424	7.404
0.425	7.394
0.425	6.950
0.426	7.222
0.426	7.313
0.427	7.204
0.427	7.258
0.428	7.394
0.428	7.413
0.429	7.294
0.429	7.258
0.430	7.313
0.430	7.440
0.431	7.249
0.431	7.713
0.432	7.349
0.432	7.770
0.433	7.431
0.433	7.413
0.434	7.358
0.434	7.321
0.435	7.294
0.435	7.178
0.436	7.204
0.436	7.222
0.437	7.303
0.437	7.459
0.438	7.468
0.438	7.294
0.439	7.151
0.439	7.313
0.440	6.388
0.440	7.751
0.441	6.672
0.441	7.037
0.442	7.054
0.442	7.450
0.443	7.204
0.443	7.276
0.444	7.487
0.444	7.249
0.445	7.956
0.445	7.267
0.446	7.422
0.446	7.571
0.447	7.627
0.447	6.942
0.448	7.285
0.448	7.195
0.449	7.313
0.449	7.276
0.450	7.331
0.450	7.599
0.451	7.267
0.451	7.571
0.452	7.349
0.452	7.524
0.453	7.358
0.453	7.413
0.454	7.125
0.454	7.468
0.455	7.267
0.455	7.187
0.456	7.533
0.456	7.294
0.457	7.303
0.457	7.358
0.458	7.313
0.458	7.222
0.459	7.358
0.459	7.187
0.460	7.276
0.460	7.276
0.461	7.313
0.461	7.404
0.462	7.431
0.462	8.320
0.463	7.819
0.463	7.294
0.464	7.195
0.464	7.358
0.465	7.331
0.465	7.656
0.466	7.276
0.466	7.599
0.467	7.240
0.467	7.349
0.468	7.313
0.468	7.294
0.469	7.349
0.469	7.222
0.470	7.694
0.470	6.763
0.471	7.294
0.471	7.294
0.472	7.276
0.472	7.367
0.473	7.349
0.473	7.303
0.474	7.394
0.474	7.829
0.475	7.477
0.475	7.258
0.476	7.204
0.476	7.599
0.477	7.376
0.477	7.524
0.478	7.477
0.478	7.703
0.479	7.376
0.479	7.376
0.480	7.178
0.480	7.204
0.481	7.213
0.481	7.440
0.482	7.258
0.482	7.267
0.483	7.524
0.483	7.321
0.484	7.002
0.484	6.968
0.485	7.258
0.485	7.240
0.486	7.231
0.486	7.204
0.487	7.178
0.487	7.204
0.488	7.487
0.488	7.054
0.489	7.376
0.489	7.431
0.490	7.187
0.490	7.285
0.491	7.376
0.491	7.213
0.492	7.240
0.492	7.496
0.493	8.045
0.493	7.002
0.494	7.002
0.494	7.313
0.495	7.063
0.495	7.656
0.496	7.515
0.496	7.204
0.497	7.599
0.497	7.213
0.498	7.187
0.498	7.037
0.499	6.797
0.499	7.160
0.500	7.358
0.500	6.573
0.501	7.116
0.501	6.968
0.502	7.011
0.502	7.413
0.502	7.072
0.503	7.431
0.504	7.222
0.504	6.916
0.505	7.187
0.505	7.496
0.506	7.561
0.506	7.331
0.507	7.011
0.507	7.599
0.508	7.385
0.508	7.515
0.509	7.321
0.509	7.313
0.510	7.231
0.510	7.431
0.511	7.358
0.511	7.276
0.512	6.788
0.512	7.222
0.513	7.413
0.513	7.285
0.514	7.321
0.514	7.294
0.515	7.394
0.515	7.249
0.516	7.376
0.516	7.394
0.516	7.160
0.517	7.285
0.518	6.968
0.518	7.249
0.519	7.213
0.519	7.222
0.520	7.276
0.520	7.394
0.521	6.814
0.521	7.580
0.522	7.276
0.522	7.285
0.523	8.372
0.523	7.267
0.524	7.231
0.524	7.376
0.525	7.394
0.525	7.249
0.525	7.276
0.526	7.799
0.527	7.385
0.527	7.450
0.528	7.358
0.528	7.313
0.529	7.267
0.529	7.142
0.530	7.303
0.530	7.019
0.531	7.496
0.531	7.240
0.532	7.331
0.532	7.294
0.533	7.285
0.533	7.761
0.534	7.160
0.534	7.376
0.535	7.459
0.535	7.294
0.536	7.524
0.536	7.098
0.537	7.276
0.537	7.376
0.538	7.459
0.538	7.367
0.539	7.231
0.539	7.089
0.539	7.358
0.540	7.222
0.541	6.976
0.541	7.160
0.542	7.240
0.542	8.403
0.543	7.422
0.543	6.184
0.544	7.240
0.544	7.222
0.545	7.285
0.545	6.985
0.546	7.589
0.546	7.703
0.547	7.125
0.547	7.151
0.548	7.276
0.548	7.331
0.549	7.303
0.549	7.440
0.550	7.505
0.550	7.169
0.551	7.169
0.551	7.187
0.552	7.169
0.552	7.313
0.553	6.899
0.553	7.422
0.553	7.385
0.554	7.019
0.555	7.440
0.555	7.722
0.556	7.240
0.556	7.160
0.557	7.249
0.557	7.169
0.558	7.713
0.558	7.285
0.559	7.431
0.559	7.376
0.560	8.309
0.560	7.848
0.561	7.722
0.561	6.763
0.562	7.459
0.562	7.187
0.563	7.213
0.563	7.054
0.564	7.187
0.564	6.476
0.565	7.089
0.565	7.249
0.566	7.694
0.566	7.505
0.567	7.524
0.567	7.151
0.568	7.213
0.568	7.213
0.569	6.916
0.569	7.276
0.570	7.477
0.570	7.187
0.571	7.533
0.571	7.713
0.572	7.258
0.572	7.231
0.573	7.321
0.573	7.294
0.574	7.195
0.574	7.107
0.575	7.178
0.575	7.468
0.576	7.249
0.576	7.011
0.576	7.213
0.577	7.002
0.578	7.160
0.578	7.431
0.579	7.656
0.579	7.450
0.580	7.367
0.580	7.487
0.581	7.358
0.581	7.468
0.582	7.019
0.582	7.240
0.583	8.268
0.583	7.321
0.584	7.394
0.584	7.267
0.585	7.349
0.585	7.358
0.586	7.276
0.586	6.968
0.587	7.285
0.587	7.098
0.588	7.187
0.588	7.294
0.589	7.459
0.589	7.349
0.590	7.222
0.590	7.413
0.591	7.459
0.591	6.942
0.592	6.831
0.592	7.116
0.593	7.917
0.593	7.063
0.594	7.072
0.594	7.231
0.595	7.019
0.595	7.019
0.596	7.367
0.596	7.249
0.597	7.204
0.597	7.063
0.598	7.267
0.598	7.151
0.599	7.385
0.599	7.404
0.600	7.887
0.600	7.608
0.601	7.303
0.601	6.890
0.602	7.267
0.602	7.524
0.603	7.169
0.603	6.614
0.604	7.204
0.604	7.081
0.605	6.907
0.605	7.098
0.606	7.543
0.606	7.422
0.607	7.204
0.607	7.394
0.608	6.839
0.608	7.358
0.609	7.276
0.609	7.331
0.610	7.169
0.610	7.321
0.611	7.809
0.611	7.276
0.612	7.367
0.612	7.267
0.613	7.358
0.613	7.358
0.614	7.459
0.614	7.809
0.615	7.294
0.615	7.656
0.616	7.358
0.616	7.240
0.617	7.450
0.617	7.394
0.618	6.814
0.618	7.358
0.619	7.331
0.619	7.358
0.620	7.589
0.620	7.742
0.621	7.222
0.621	7.231
0.622	7.054
0.622	7.294
0.623	7.331
0.623	7.376
0.624	7.761
0.624	7.331
0.625	7.213
0.625	7.072
0.626	7.431
0.626	7.599
0.627	7.459
0.627	7.877
0.628	7.589
0.628	7.533
0.629	7.240
0.629	7.249
0.630	7.063
0.630	7.349
0.631	7.608
0.631	7.331
0.632	6.688
0.632	7.222
0.633	7.294
0.633	7.524
0.634	7.037
0.634	7.019
0.635	6.985
0.635	7.169
0.636	7.169
0.636	7.276
0.637	7.258
0.637	7.303
0.638	7.637
0.638	7.468
0.639	7.285
0.639	7.294
0.640	7.367
0.640	7.160
0.641	6.721
0.641	7.627
0.642	7.019
0.642	7.231
0.643	8.035
0.643	7.258
0.644	7.986
0.644	7.404
0.645	6.655
0.645	7.986
0.646	7.358
0.646	7.877
0.647	7.037
0.647	7.450
0.648	7.376
0.648	7.107
0.649	7.258
0.649	7.258
0.650	7.580
0.650	7.222
0.651	7.285
0.651	7.258
0.652	6.968
0.652	7.404
0.653	6.622
0.653	6.899
0.654	7.222
0.654	7.267
0.655	7.267
0.655	7.222
0.656	6.959
0.656	7.258
0.657	7.331
0.657	7.098
0.658	7.543
0.658	7.313
0.659	7.349
0.659	7.276
0.660	7.125
0.660	6.614
0.661	7.258
0.661	7.294
0.662	7.169
0.662	7.002
0.663	7.331
0.663	6.606
0.664	6.993
0.664	7.276
0.665	7.142
0.665	7.331
0.666	7.431
0.666	7.385
0.667	6.933
0.667	7.258
0.668	7.107
0.668	7.394
0.669	7.294
0.669	7.331
0.670	6.993
0.670	7.276
0.671	7.204
0.671	7.349
0.672	7.151
0.672	7.160
0.673	7.258
0.673	7.089
0.674	7.240
0.674	7.349
0.675	6.814
0.675	7.249
0.676	7.081
0.676	7.313
0.677	7.431
0.677	7.019
0.678	7.169
0.678	7.151
0.679	7.125
0.679	7.450
0.680	7.107
0.680	7.142
0.681	7.358
0.681	7.790
0.682	7.477
0.682	7.349
0.683	7.599
0.683	6.755
0.684	7.116
0.684	7.231
0.685	7.946
0.685	7.313
0.686	7.231
0.686	6.882
0.687	7.656
0.687	7.160
0.688	6.950
0.688	7.313
0.689	7.294
0.689	7.249
0.690	7.450
0.690	7.477
0.691	7.160
0.691	7.431
0.692	7.204
0.692	7.722
0.693	7.385
0.693	7.107
0.694	7.770
0.694	7.331
0.695	7.732
0.695	7.195
0.696	7.321
0.696	7.249
0.697	7.524
0.697	7.770
0.698	7.222
0.698	7.385
0.699	7.276
0.699	7.072
0.700	6.630
0.700	7.249
0.701	7.956
0.701	7.267
0.702	7.213
0.702	7.867
0.703	7.231
0.703	7.285
0.704	7.019
0.704	7.431
0.705	7.867
0.705	7.258
0.706	7.222
0.706	6.581
0.707	7.002
0.707	6.663
0.708	7.376
0.708	7.204
0.709	7.267
0.709	7.533
0.710	7.505
0.710	7.404
0.711	6.822
0.711	7.321
0.712	7.169
0.712	7.195
0.713	7.249
0.713	7.533
0.714	7.249
0.714	7.751
0.715	7.142
0.715	7.178
0.716	7.694
0.716	7.222
0.717	7.285
0.717	7.303
0.718	7.116
0.718	7.258
0.719	7.195
0.719	7.195
0.720	7.313
0.720	7.404
0.721	7.385
0.721	7.046
0.722	7.178
0.722	7.267
0.723	6.688
0.723	7.098
0.724	7.089
0.724	7.098
0.725	7.178
0.725	7.098
0.726	6.968
0.726	6.942
0.727	7.267
0.727	7.116
0.728	7.098
0.728	7.267
0.729	7.142
0.729	7.204
0.730	7.204
0.730	7.072
0.731	7.276
0.731	6.831
0.732	6.738
0.732	6.500
0.733	7.063
0.733	7.028
0.734	7.054
0.734	6.950
0.735	6.589
0.735	7.169
0.736	6.705
0.736	6.968
0.737	7.063
0.737	7.169
0.738	6.907
0.738	7.249
0.739	7.169
0.739	7.125
0.740	7.580
0.740	7.589
0.741	7.684
0.741	7.222
0.742	7.151
0.742	7.413
0.743	7.897
0.743	7.276
0.744	7.468
0.744	7.313
0.745	7.231
0.745	7.349
0.746	7.231
0.746	7.107
0.747	8.015
0.747	7.285
0.748	7.249
0.748	7.285
0.749	7.303
0.749	7.267
0.750	7.487
0.750	7.276
0.751	7.222
0.751	7.151
0.752	7.195
0.752	6.696
0.753	6.856
0.753	7.213
0.754	7.063
0.754	7.169
0.755	7.385
0.755	7.116
0.756	7.450
0.756	7.204
0.757	6.950
0.757	7.169
0.758	7.187
0.758	7.204
0.759	7.258
0.759	7.231
0.760	7.459
0.760	7.285
0.761	6.814
0.761	7.231
0.762	6.713
0.762	7.515
0.763	7.240
0.763	7.285
0.764	7.976
0.764	7.204
0.765	8.045
0.765	7.222
0.766	7.294
0.766	6.805
0.767	7.187
0.767	7.019
0.768	7.072
0.768	7.011
0.769	6.873
0.769	7.028
0.770	7.240
0.770	7.011
0.771	6.865
0.771	6.246
0.772	6.831
0.772	7.142
0.773	7.294
0.773	7.936
0.774	7.321
0.774	7.665
0.775	7.169
0.775	7.240
0.776	7.249
0.776	7.213
0.777	7.240
0.777	7.276
0.778	7.204
0.778	7.505
0.779	7.178
0.779	7.496
0.780	7.790
0.780	7.098
0.781	7.285
0.781	7.637
0.782	7.204
0.782	7.037
0.783	7.160
0.783	7.072
0.784	7.231
0.784	8.136
0.785	7.267
0.785	7.213
0.786	7.321
0.786	7.468
0.787	8.045
0.787	7.213
0.788	7.089
0.788	7.231
0.789	7.213
0.789	7.267
0.790	7.019
0.790	6.549
0.791	6.839
0.791	6.916
0.792	7.125
0.792	6.746
0.793	7.081
0.793	7.089
0.794	7.761
0.794	7.195
0.795	7.321
0.795	7.867
0.796	7.294
0.796	7.385
0.797	7.249
0.797	7.313
0.798	7.376
0.798	7.267
0.799	7.258
0.799	7.580
0.800	7.637
0.800	6.805
0.801	6.890
0.801	7.125
0.802	7.151
0.802	7.116
0.803	6.597
0.803	7.081
0.804	7.054
0.804	6.516
0.805	7.267
0.805	6.968
0.806	7.204
0.806	7.195
0.807	7.358
0.807	7.125
0.808	6.738
0.808	7.187
0.809	7.249
0.809	7.187
0.810	7.422
0.810	7.019
0.811	7.608
0.811	7.002
0.812	7.240
0.812	7.240
0.813	7.240
0.813	7.646
0.814	7.431
0.814	7.195
0.815	7.258
0.815	7.258
0.816	7.367
0.816	7.222
0.817	7.440
0.817	7.258
0.818	7.376
0.818	7.571
0.819	7.222
0.819	7.240
0.820	8.045
0.820	7.098
0.821	7.011
0.821	7.222
0.822	7.487
0.822	7.376
0.823	7.002
0.823	7.107
0.824	7.515
0.824	7.349
0.825	7.684
0.825	6.831
0.826	7.285
0.826	7.267
0.827	7.240
0.827	7.054
0.828	7.404
0.828	7.169
0.829	7.276
0.829	7.276
0.830	7.258
0.830	6.985
0.831	6.950
0.831	7.142
0.832	7.231
0.832	7.561
0.833	7.063
0.833	7.240
0.834	7.213
0.834	7.231
0.835	7.125
0.835	7.142
0.836	6.942
0.836	7.037
0.837	7.385
0.837	6.822
0.838	7.142
0.838	7.187
0.839	7.222
0.839	7.213
0.840	7.543
0.840	7.116
0.841	7.440
0.841	7.125
0.842	7.072
0.842	7.151
0.843	7.151
0.843	7.276
0.844	7.258
0.844	7.294
0.845	6.814
0.845	7.169
0.846	7.204
0.846	7.151
0.847	7.098
0.847	7.809
0.848	7.160
0.848	7.160
0.849	7.222
0.849	7.125
0.850	7.011
0.850	7.160
0.851	6.890
0.851	7.151
0.852	7.276
0.852	6.822
0.853	7.413
0.853	7.367
0.854	7.394
0.854	7.116
0.855	7.125
0.855	7.331
0.856	7.054
0.856	7.367
0.857	7.321
0.857	7.258
0.858	7.376
0.858	7.107
0.859	7.231
0.859	6.942
0.860	7.037
0.860	7.703
0.861	6.772
0.861	7.276
0.862	7.431
0.862	7.897
0.863	7.877
0.863	7.028
0.864	7.213
0.864	7.011
0.865	7.331
0.865	7.240
0.866	7.367
0.866	7.376
0.867	7.107
0.867	7.276
0.868	7.151
0.868	7.204
0.869	7.002
0.869	6.985
0.870	6.907
0.870	7.204
0.871	7.321
0.871	7.258
0.872	7.276
0.872	7.313
0.873	7.151
